Employee_ID,Employee_Name,Department,City,Product,Month,Units_Sold,Revenue
71,Kavya,HR,Bhopal,Monitor,Jun,23,17641
72,Rohit,Marketing,Varanasi,Monitor,Jun,16,13280
73,Manish,Finance,Varanasi,Laptop,Mar,23,9545
74,Meera,IT,Bangalore,Tablet,Apr,33,21516
75,Arjun,IT,Varanasi,Phone,Jun,10,4900
76,Nikhil,IT,Bhopal,Laptop,Feb,48,24816
77,Sneha,Marketing,Mumbai,Laptop,Jan,20,13720
78,Divya,Sales,Varanasi,Monitor,Jun,41,16359
79,Vikas,HR,Varanasi,Phone,Feb,46,41584
80,Aman,Sales,Varanasi,Phone,Feb,49,35770
81,Siddharth,Sales,Bangalore,Phone,Jan,34,11424
82,Siddharth,IT,Bangalore,Tablet,Apr,44,45496
83,Nikhil,HR,Bangalore,Monitor,Feb,35,23100
84,Aditya,Marketing,Bhopal,Monitor,Jun,20,9620
85,Siddharth,Sales,Bhopal,Phone,Mar,26,13702
86,Isha,Sales,Mumbai,Phone,Feb,29,26390
87,Rohit,Marketing,Delhi,Monitor,Apr,26,19630
88,Siddharth,HR,Delhi,Phone,Apr,29,32654
89,Manish,Sales,Bangalore,Monitor,Apr,5,5825
90,Ananya,Finance,Varanasi,Monitor,May,39,39741
91,Divya,Marketing,Varanasi,Phone,Mar,32,22304
92,Aman,HR,Bhopal,Monitor,Jun,15,15900
93,Siddharth,Marketing,Bangalore,Laptop,Apr,42,32634
94,Aman,Sales,Varanasi,Phone,Apr,16,4016
95,Aditya,HR,Bhopal,Phone,Apr,25,13625
96,Vikas,Finance,Varanasi,Tablet,Jan,35,7665
97,Isha,Sales,Bhopal,Phone,Jun,9,8991
98,Riya,Sales,Mumbai,Phone,Jan,44,15664
99,Sneha,Marketing,Varanasi,Laptop,May,18,12168
100,Aditya,Finance,Mumbai,Laptop,Feb,24,7440
